timestamp,temperature_C,humidity_%,CO_ppm,action
2025-10-01T00:00:00+07:00,24.02,74.75,19.63,high_humidity_turn_on_AC
2025-10-01T00:01:00+07:00,23.94,75.32,20.47,high_humidity_turn_on_AC
2025-10-01T00:02:00+07:00,23.97,75.02,19.68,high_humidity_turn_on_AC
2025-10-01T00:03:00+07:00,24.02,75.49,19.9,high_humidity_turn_on_AC
2025-10-01T00:04:00+07:00,23.98,75.1,20.14,high_humidity_turn_on_AC
2025-10-01T00:05:00+07:00,23.99,74.62,20.5,high_humidity_turn_on_AC
2025-10-01T00:06:00+07:00,23.99,74.74,20.23,high_humidity_turn_on_AC
2025-10-01T00:07:00+07:00,23.93,75.53,19.88,high_humidity_turn_on_AC
2025-10-01T00:08:00+07:00,23.91,75.47,20.52,high_humidity_turn_on_AC
2025-10-01T00:09:00+07:00,23.9,74.7,20.13,high_humidity_turn_on_AC
2025-10-01T00:10:00+07:00,23.93,75.36,19.99,high_humidity_turn_on_AC
2025-10-01T00:11:00+07:00,23.97,75.61,20.0,high_humidity_turn_on_AC
2025-10-01T00:12:00+07:00,23.98,74.75,20.2,high_humidity_turn_on_AC
2025-10-01T00:13:00+07:00,23.94,74.82,20.4,high_humidity_turn_on_AC
2025-10-01T00:14:00+07:00,23.93,75.38,20.6,high_humidity_turn_on_AC
2025-10-01T00:15:00+07:00,23.95,74.79,20.06,high_humidity_turn_on_AC
2025-10-01T00:16:00+07:00,23.9,75.37,19.86,high_humidity_turn_on_AC
2025-10-01T00:17:00+07:00,23.94,75.44,20.34,high_humidity_turn_on_AC
2025-10-01T00:18:00+07:00,23.86,75.45,19.94,high_humidity_turn_on_AC
2025-10-01T00:19:00+07:00,23.87,75.4,20.7,high_humidity_turn_on_AC
2025-10-01T00:20:00+07:00,23.88,75.27,20.67,high_humidity_turn_on_AC
2025-10-01T00:21:00+07:00,23.9,75.5,20.44,high_humidity_turn_on_AC
2025-10-01T00:22:00+07:00,23.86,74.84,20.16,high_humidity_turn_on_AC
2025-10-01T00:23:00+07:00,23.85,75.44,20.73,high_humidity_turn_on_AC
2025-10-01T00:24:00+07:00,23.86,74.92,20.14,high_humidity_turn_on_AC
2025-10-01T00:25:00+07:00,23.86,75.81,20.13,high_humidity_turn_on_AC
2025-10-01T00:26:00+07:00,23.86,75.59,20.16,high_humidity_turn_on_AC
2025-10-01T00:27:00+07:00,23.88,75.67,20.09,high_humidity_turn_on_AC
2025-10-01T00:28:00+07:00,23.81,75.28,20.87,high_humidity_turn_on_AC
2025-10-01T00:29:00+07:00,23.87,75.14,20.28,high_humidity_turn_on_AC
2025-10-01T00:30:00+07:00,23.85,75.54,20.68,high_humidity_turn_on_AC
2025-10-01T00:31:00+07:00,23.84,75.02,20.49,high_humidity_turn_on_AC
2025-10-01T00:32:00+07:00,23.8,74.99,20.46,high_humidity_turn_on_AC
2025-10-01T00:33:00+07:00,23.78,75.37,20.72,high_humidity_turn_on_AC
2025-10-01T00:34:00+07:00,23.83,75.26,20.14,high_humidity_turn_on_AC
2025-10-01T00:35:00+07:00,23.78,75.77,20.3,high_humidity_turn_on_AC
2025-10-01T00:36:00+07:00,23.78,75.36,20.51,high_humidity_turn_on_AC
2025-10-01T00:37:00+07:00,23.82,75.45,20.63,high_humidity_turn_on_AC
2025-10-01T00:38:00+07:00,23.76,75.37,20.24,high_humidity_turn_on_AC
2025-10-01T00:39:00+07:00,23.78,75.85,20.95,high_humidity_turn_on_AC
2025-10-01T00:40:00+07:00,23.78,75.56,20.77,high_humidity_turn_on_AC
2025-10-01T00:41:00+07:00,23.79,75.23,20.81,high_humidity_turn_on_AC
2025-10-01T00:42:00+07:00,23.79,75.25,21.05,high_humidity_turn_on_AC
2025-10-01T00:43:00+07:00,23.75,76.01,21.02,high_humidity_turn_on_AC
2025-10-01T00:44:00+07:00,23.77,75.84,20.51,high_humidity_turn_on_AC
